,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HTGD,ATGD,DiffPts,DiffFormPts,HTP,ATP,HC,AC,HF,AF,HY,AY,HR,AR,HAS,HDS,AAS,ADS,MP
0,Charlton,Man City,4,0,H,17,8,14,4,0,0,0,0,0,0,6,6,13,12,1,2,0,0,1.3458646616541354,1.3383458646616542,1.2857142857142858,1.368421052631579,133
1,Chelsea,West Ham,4,2,H,17,12,10,5,0,0,0,0,0,0,7,7,19,14,1,2,0,0,2.1543859649122807,0.8,0.9692982456140351,1.6535087719298245,285
2,Coventry,Middlesbrough,1,3,A,6,16,3,9,0,0,0,0,0,0,8,4,15,21,5,3,1,0,0.7368421052631579,1.2105263157894737,0.9276315789473685,1.4342105263157894,19
3,Derby,Southampton,2,2,D,6,13,4,6,0,0,0,0,0,0,5,8,11,13,1,1,0,0,0.9649122807017544,1.631578947368421,1.013157894736842,1.513157894736842,57
4,Leeds,Everton,2,0,H,17,12,8,6,0,0,0,0,0,0,6,4,21,20,1,3,0,0,1.5394736842105263,1.3026315789473684,1.0736842105263158,1.3543859649122807,76
5,Leicester,Aston Villa,0,0,D,5,5,4,3,0,0,0,0,0,0,5,4,12,12,2,3,0,0,1.2763157894736843,1.355263157894737,1.1508771929824562,1.6456140350877193,76
6,Liverpool,Bradford,1,0,H,16,3,10,2,0,0,0,0,0,0,6,1,8,8,1,1,0,0,1.8982456140350876,0.7578947368421053,0.5263157894736842,2.1578947368421053,285
7,Sunderland,Arsenal,1,0,H,8,14,2,7,0,0,0,0,0,0,2,9,10,21,3,1,0,1,1.1228070175438596,1.206140350877193,1.6596491228070176,1.1228070175438596,228
8,Tottenham,Ipswich,3,1,H,20,15,6,5,0,0,0,0,0,0,3,4,14,13,0,0,0,0,1.743859649122807,1.0666666666666667,1.236842105263158,1.763157894736842,285
9,Man United,Newcastle,2,0,H,19,9,9,6,0,0,0,0,0,0,7,1,7,13,0,1,0,0,2.1964912280701756,0.7017543859649122,1.0714285714285714,1.6804511278195489,285
10,Arsenal,Liverpool,2,0,H,17,7,12,4,-1,1,-3,-3,0,3,10,11,25,20,2,4,1,2,2.1789473684210527,0.8385964912280702,1.4912280701754386,1.1964912280701754,285
11,Bradford,Chelsea,2,0,H,12,14,3,6,-1,2,-3,-3,0,3,6,4,14,16,0,1,0,0,1.0526315789473684,1.5263157894736843,1.5368421052631578,0.9263157894736842,19
12,Ipswich,Man United,1,1,D,13,15,8,6,-2,2,-3,-3,0,3,4,6,10,7,1,4,0,0,1.3421052631578947,1.0263157894736843,1.7228070175438597,1.0421052631578946,38
13,Middlesbrough,Tottenham,1,1,D,12,11,6,4,2,2,0,0,3,3,5,5,9,18,2,1,0,0,1.3026315789473684,1.236842105263158,1.2035087719298245,1.4771929824561403,152
14,Everton,Charlton,3,0,H,13,8,8,4,-2,4,-3,-3,0,3,3,5,17,15,2,1,0,1,1.592982456140351,1.0701754385964912,0.9172932330827067,1.5639097744360901,285
15,Man City,Sunderland,4,2,H,15,9,10,4,-4,1,-3,-3,0,3,7,3,24,14,3,3,0,0,1.8345864661654134,0.9849624060150376,0.8947368421052632,1.7456140350877194,266
16,Newcastle,Derby,3,2,H,9,10,4,5,-2,0,-1,-1,0,1,9,6,23,11,0,3,1,0,1.537593984962406,1.1766917293233083,0.6140350877192983,2.0701754385964914,266
17,Southampton,Coventry,1,2,A,12,7,4,5,0,-2,1,1,1,0,6,5,18,20,5,3,0,0,1.486842105263158,1.1578947368421053,1.1578947368421053,2.1052631578947367,152
